OG Link,Shortened Link (sorted alphabetically),Duplicate?,base_url,duplicated
https://www.proquest.com/docview/2429376627/abstract/39C38B9E225B4415PQ/1948?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2429376627,Duplicate,https://www.proquest.com/docview/2429376627,Duplicate
https://www.proquest.com/docview/2443487356/citation/39C38B9E225B4415PQ/1702?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2443487356,Unique,https://www.proquest.com/docview/2443487356,Unique
https://www.proquest.com/docview/2483979057/abstract/39C38B9E225B4415PQ/1900?accountid=14771,https://www.proquest.com/docview/2483979057,Unique,https://www.proquest.com/docview/2483979057,Unique
https://www.proquest.com/docview/2512749137/abstract/39C38B9E225B4415PQ/1190?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2512749137,Unique,https://www.proquest.com/docview/2512749137,Unique
https://www.proquest.com/docview/2559973205/abstract/39C38B9E225B4415PQ/1974?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2559973205,Duplicate,https://www.proquest.com/docview/2559973205,Duplicate
https://www.proquest.com/docview/2559973205/abstract/7575FAA4955647FEPQ/1043?accountid=14771,https://www.proquest.com/docview/2559973205,Duplicate,https://www.proquest.com/docview/2559973205,Duplicate
https://www.proquest.com/docview/2563638132/abstract/699ED3E543144D9EPQ/312?accountid=14771,https://www.proquest.com/docview/2563638132,Duplicate,https://www.proquest.com/docview/2563638132,Duplicate
https://www.proquest.com/docview/2563638132/abstract/E6880F222B744002PQ/207?accountid=14771,https://www.proquest.com/docview/2563638132,Duplicate,https://www.proquest.com/docview/2563638132,Duplicate
https://www.proquest.com/docview/2563638132/abstract/39C38B9E225B4415PQ/106?accountid=14771,https://www.proquest.com/docview/2563638132,Duplicate,https://www.proquest.com/docview/2563638132,Duplicate
https://www.proquest.com/docview/2563638132/abstract/1B026C73F2494CBCPQ/71?accountid=14771,https://www.proquest.com/docview/2563638132,Duplicate,https://www.proquest.com/docview/2563638132,Duplicate
https://www.proquest.com/docview/2572931646/abstract/7DDF38C0B86A4235PQ/432?accountid=14771,https://www.proquest.com/docview/2572931646,Duplicate,https://www.proquest.com/docview/2572931646,Duplicate
https://www.proquest.com/docview/2572931646/abstract/150C6889B07F4AE0PQ/596?accountid=14771,https://www.proquest.com/docview/2572931646,Duplicate,https://www.proquest.com/docview/2572931646,Duplicate
https://www.proquest.com/docview/2615328521/abstract/699ED3E543144D9EPQ/1543?accountid=14771,https://www.proquest.com/docview/2615328521,Duplicate,https://www.proquest.com/docview/2615328521,Duplicate
https://www.proquest.com/docview/2615328521/abstract/39C38B9E225B4415PQ/1921?accountid=14771,https://www.proquest.com/docview/2615328521,Duplicate,https://www.proquest.com/docview/2615328521,Duplicate
https://www.proquest.com/docview/2615328521/abstract/B74393533E064F01PQ/560?accountid=14771,https://www.proquest.com/docview/2615328521,Duplicate,https://www.proquest.com/docview/2615328521,Duplicate
https://www.proquest.com/docview/2615328521/abstract/7575FAA4955647FEPQ/420?accountid=14771,https://www.proquest.com/docview/2615328521,Duplicate,https://www.proquest.com/docview/2615328521,Duplicate
https://www.proquest.com/docview/2619610426/abstract/86C22B8B775042CFPQ/1358?accountid=14771,https://www.proquest.com/docview/2619610426,Unique,https://www.proquest.com/docview/2619610426,Unique
https://www.proquest.com/docview/2621017389/abstract/718EB52415214AF0PQ/1400?accountid=14771,https://www.proquest.com/docview/2621017389,Unique,https://www.proquest.com/docview/2621017389,Unique
https://www.proquest.com/docview/2621921310/fulltext/B74393533E064F01PQ/623?accountid=14771,https://www.proquest.com/docview/2621921310,Unique,https://www.proquest.com/docview/2621921310,Unique
https://www.proquest.com/docview/2673579172/abstract/699ED3E543144D9EPQ/1953?accountid=14771,https://www.proquest.com/docview/2673579172,Unique,https://www.proquest.com/docview/2673579172,Unique
https://www.proquest.com/docview/2680663786/abstract/7575FAA4955647FEPQ/991?accountid=14771,https://www.proquest.com/docview/2680663786,Unique,https://www.proquest.com/docview/2680663786,Unique
https://www.proquest.com/docview/2682488593/abstract/278790EACCE54AA6PQ/1344?accountid=14771,https://www.proquest.com/docview/2682488593,Unique,https://www.proquest.com/docview/2682488593,Unique
https://www.proquest.com/docview/2691417393/abstract/7575FAA4955647FEPQ/1418?accountid=14771,https://www.proquest.com/docview/2691417393,Unique,https://www.proquest.com/docview/2691417393,Unique
https://www.proquest.com/docview/2695485080/abstract/39C38B9E225B4415PQ/901?accountid=14771,https://www.proquest.com/docview/2695485080,Unique,https://www.proquest.com/docview/2695485080,Unique
https://www.proquest.com/docview/2697164000/abstract/699ED3E543144D9EPQ/601?accountid=14771,https://www.proquest.com/docview/2697164000,Duplicate,https://www.proquest.com/docview/2697164000,Duplicate
https://www.proquest.com/docview/2697164000/abstract/1B026C73F2494CBCPQ/183?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2697164000,Duplicate,https://www.proquest.com/docview/2697164000,Duplicate
https://www.proquest.com/docview/2697164000/abstract/39C38B9E225B4415PQ/182?accountid=14771,https://www.proquest.com/docview/2697164000,Duplicate,https://www.proquest.com/docview/2697164000,Duplicate
https://www.proquest.com/docview/2697164000/abstract/7575FAA4955647FEPQ/108?accountid=14771,https://www.proquest.com/docview/2697164000,Duplicate,https://www.proquest.com/docview/2697164000,Duplicate
https://www.proquest.com/docview/2697164000/abstract/E6880F222B744002PQ/589?accountid=14771,https://www.proquest.com/docview/2697164000,Duplicate,https://www.proquest.com/docview/2697164000,Duplicate
https://www.proquest.com/docview/2697164000/abstract/B74393533E064F01PQ/126?accountid=14771,https://www.proquest.com/docview/2697164000,Duplicate,https://www.proquest.com/docview/2697164000,Duplicate
https://www.proquest.com/docview/2714017426/abstract/39C38B9E225B4415PQ/1406?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2714017426,Duplicate,https://www.proquest.com/docview/2714017426,Duplicate
https://www.proquest.com/docview/2714017426/abstract/7575FAA4955647FEPQ/1079?accountid=14771,https://www.proquest.com/docview/2714017426,Duplicate,https://www.proquest.com/docview/2714017426,Duplicate
https://www.proquest.com/docview/2714017426/abstract/86C22B8B775042CFPQ/279?accountid=14771,https://www.proquest.com/docview/2714017426,Duplicate,https://www.proquest.com/docview/2714017426,Duplicate
https://www.proquest.com/docview/2731058011/abstract/E6880F222B744002PQ/1151?accountid=14771,https://www.proquest.com/docview/2731058011,Duplicate,https://www.proquest.com/docview/2731058011,Duplicate
https://www.proquest.com/docview/2731058011/abstract/699ED3E543144D9EPQ/1849?accountid=14771,https://www.proquest.com/docview/2731058011,Duplicate,https://www.proquest.com/docview/2731058011,Duplicate
https://www.proquest.com/docview/2734730712/citation/86C22B8B775042CFPQ/1005?accountid=14771,https://www.proquest.com/docview/2734730712,Unique,https://www.proquest.com/docview/2734730712,Unique
https://www.proquest.com/docview/2739430431/abstract/7575FAA4955647FEPQ/1440?accountid=14771,https://www.proquest.com/docview/2739430431,Unique,https://www.proquest.com/docview/2739430431,Unique
https://www.proquest.com/docview/2740578703/abstract/86C22B8B775042CFPQ/1576?accountid=14771,https://www.proquest.com/docview/2740578703,Unique,https://www.proquest.com/docview/2740578703,Unique
https://www.proquest.com/docview/2746999493/abstract/699ED3E543144D9EPQ/1235?accountid=14771,https://www.proquest.com/docview/2746999493,Unique,https://www.proquest.com/docview/2746999493,Unique
https://www.proquest.com/docview/2760547306/citation/7575FAA4955647FEPQ/1155?accountid=14771,https://www.proquest.com/docview/2760547306,Duplicate,https://www.proquest.com/docview/2760547306,Duplicate
https://www.proquest.com/docview/2760547306/abstract/39C38B9E225B4415PQ/1976?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2760547306,Duplicate,https://www.proquest.com/docview/2760547306,Duplicate
https://www.proquest.com/docview/2763282822/abstract/278790EACCE54AA6PQ/538?accountid=14771,https://www.proquest.com/docview/2763282822,Duplicate,https://www.proquest.com/docview/2763282822,Duplicate
https://www.proquest.com/docview/2763282822/abstract/86C22B8B775042CFPQ/796?accountid=14771,https://www.proquest.com/docview/2763282822,Duplicate,https://www.proquest.com/docview/2763282822,Duplicate
https://www.proquest.com/docview/2767258602/abstract/7575FAA4955647FEPQ/506?accountid=14771,https://www.proquest.com/docview/2767258602,Unique,https://www.proquest.com/docview/2767258602,Unique
https://www.proquest.com/docview/2770536814/citation/699ED3E543144D9EPQ/1290?accountid=14771,https://www.proquest.com/docview/2770536814,Duplicate,https://www.proquest.com/docview/2770536814,Duplicate
https://www.proquest.com/docview/2770536814/abstract/39C38B9E225B4415PQ/459?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2770536814,Duplicate,https://www.proquest.com/docview/2770536814,Duplicate
https://www.proquest.com/docview/2770536814/abstract/E6880F222B744002PQ/1186?accountid=14771,https://www.proquest.com/docview/2770536814,Duplicate,https://www.proquest.com/docview/2770536814,Duplicate
https://www.proquest.com/docview/2774900124/abstract/7DDF38C0B86A4235PQ/337?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2774900124,Duplicate,https://www.proquest.com/docview/2774900124,Duplicate
https://www.proquest.com/docview/2774900124/abstract/150C6889B07F4AE0PQ/515?accountid=14771,https://www.proquest.com/docview/2774900124,Duplicate,https://www.proquest.com/docview/2774900124,Duplicate
https://www.proquest.com/docview/2777785436/abstract/39C38B9E225B4415PQ/809?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2777785436,Unique,https://www.proquest.com/docview/2777785436,Unique
https://www.proquest.com/docview/2785507595/abstract/39C38B9E225B4415PQ/681?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2785507595,Duplicate,https://www.proquest.com/docview/2785507595,Duplicate
https://www.proquest.com/docview/2785507595/abstract/699ED3E543144D9EPQ/1877?accountid=14771,https://www.proquest.com/docview/2785507595,Duplicate,https://www.proquest.com/docview/2785507595,Duplicate
https://www.proquest.com/docview/2785662759/abstract/86C22B8B775042CFPQ/1818?accountid=14771,https://www.proquest.com/docview/2785662759,Unique,https://www.proquest.com/docview/2785662759,Unique
https://www.proquest.com/docview/2789791044/abstract/86C22B8B775042CFPQ/1680?accountid=14771,https://www.proquest.com/docview/2789791044,Unique,https://www.proquest.com/docview/2789791044,Unique
https://www.proquest.com/docview/2791188464/abstract/E6880F222B744002PQ/1507?accountid=14771,https://www.proquest.com/docview/2791188464,Duplicate,https://www.proquest.com/docview/2791188464,Duplicate
https://www.proquest.com/docview/2791188464/abstract/699ED3E543144D9EPQ/1393?accountid=14771,https://www.proquest.com/docview/2791188464,Duplicate,https://www.proquest.com/docview/2791188464,Duplicate
https://www.proquest.com/docview/2791188464/abstract/39C38B9E225B4415PQ/492?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2791188464,Duplicate,https://www.proquest.com/docview/2791188464,Duplicate
https://www.proquest.com/docview/2791674879/abstract/699ED3E543144D9EPQ/1699?accountid=14771,https://www.proquest.com/docview/2791674879,Duplicate,https://www.proquest.com/docview/2791674879,Duplicate
https://www.proquest.com/docview/2791674879/abstract/E6880F222B744002PQ/1996?accountid=14771,https://www.proquest.com/docview/2791674879,Duplicate,https://www.proquest.com/docview/2791674879,Duplicate
https://www.proquest.com/docview/2797144837/citation/7575FAA4955647FEPQ/763?accountid=14771,https://www.proquest.com/docview/2797144837,Unique,https://www.proquest.com/docview/2797144837,Unique
https://www.proquest.com/docview/2803010714/abstract/7575FAA4955647FEPQ/1347?accountid=14771,https://www.proquest.com/docview/2803010714,Unique,https://www.proquest.com/docview/2803010714,Unique
https://www.proquest.com/docview/2806587353/abstract/699ED3E543144D9EPQ/1710?accountid=14771,https://www.proquest.com/docview/2806587353,Duplicate,https://www.proquest.com/docview/2806587353,Duplicate
https://www.proquest.com/docview/2806587353/abstract/39C38B9E225B4415PQ/683?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2806587353,Duplicate,https://www.proquest.com/docview/2806587353,Duplicate
https://www.proquest.com/docview/2818967634/abstract/86C22B8B775042CFPQ/457?accountid=14771,https://www.proquest.com/docview/2818967634,Unique,https://www.proquest.com/docview/2818967634,Unique
https://www.proquest.com/docview/2819445744/abstract/39C38B9E225B4415PQ/658?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2819445744,Duplicate,https://www.proquest.com/docview/2819445744,Duplicate
https://www.proquest.com/docview/2819445744/abstract/699ED3E543144D9EPQ/1544?accountid=14771,https://www.proquest.com/docview/2819445744,Duplicate,https://www.proquest.com/docview/2819445744,Duplicate
https://www.proquest.com/docview/2819482971/abstract/39C38B9E225B4415PQ/605?accountid=14771,https://www.proquest.com/docview/2819482971,Duplicate,https://www.proquest.com/docview/2819482971,Duplicate
https://www.proquest.com/docview/2819482971/abstract/699ED3E543144D9EPQ/1383?accountid=14771,https://www.proquest.com/docview/2819482971,Duplicate,https://www.proquest.com/docview/2819482971,Duplicate
https://www.proquest.com/docview/2827028034/abstract/39C38B9E225B4415PQ/851?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2827028034,Unique,https://www.proquest.com/docview/2827028034,Unique
https://www.proquest.com/docview/2829870223/abstract/7575FAA4955647FEPQ/691?accountid=14771,https://www.proquest.com/docview/2829870223,Unique,https://www.proquest.com/docview/2829870223,Unique
https://www.proquest.com/docview/2835426888/abstract/7575FAA4955647FEPQ/1321?accountid=14771,https://www.proquest.com/docview/2835426888,Unique,https://www.proquest.com/docview/2835426888,Unique
https://www.proquest.com/docview/2836402273/abstract/E6880F222B744002PQ/1901?accountid=14771,https://www.proquest.com/docview/2836402273,Duplicate,https://www.proquest.com/docview/2836402273,Duplicate
https://www.proquest.com/docview/2836402273/abstract/278790EACCE54AA6PQ/93?accountid=14771,https://www.proquest.com/docview/2836402273,Duplicate,https://www.proquest.com/docview/2836402273,Duplicate
https://www.proquest.com/docview/2836402273/citation/699ED3E543144D9EPQ/1284?accountid=14771,https://www.proquest.com/docview/2836402273,Duplicate,https://www.proquest.com/docview/2836402273,Duplicate
https://www.proquest.com/docview/2844941463/abstract/86C22B8B775042CFPQ/836?accountid=14771,https://www.proquest.com/docview/2844941463,Duplicate,https://www.proquest.com/docview/2844941463,Duplicate
https://www.proquest.com/docview/2844941463/abstract/278790EACCE54AA6PQ/1121?accountid=14771,https://www.proquest.com/docview/2844941463,Duplicate,https://www.proquest.com/docview/2844941463,Duplicate
https://www.proquest.com/docview/2852046534/abstract/699ED3E543144D9EPQ/1678?accountid=14771,https://www.proquest.com/docview/2852046534,Unique,https://www.proquest.com/docview/2852046534,Unique
https://www.proquest.com/docview/2852046676/abstract/278790EACCE54AA6PQ/1742?accountid=14771,https://www.proquest.com/docview/2852046676,Unique,https://www.proquest.com/docview/2852046676,Unique
https://www.proquest.com/docview/2857428802/abstract/699ED3E543144D9EPQ/1054?accountid=14771,https://www.proquest.com/docview/2857428802,Duplicate,https://www.proquest.com/docview/2857428802,Duplicate
https://www.proquest.com/docview/2857428802/abstract/E6880F222B744002PQ/1405?accountid=14771,https://www.proquest.com/docview/2857428802,Duplicate,https://www.proquest.com/docview/2857428802,Duplicate
https://www.proquest.com/docview/2857428802/abstract/39C38B9E225B4415PQ/493?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2857428802,Duplicate,https://www.proquest.com/docview/2857428802,Duplicate
https://www.proquest.com/docview/2861116500/abstract/39C38B9E225B4415PQ/1746?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2861116500,Unique,https://www.proquest.com/docview/2861116500,Unique
https://www.proquest.com/docview/2861116969/abstract/7575FAA4955647FEPQ/492?accountid=14771,https://www.proquest.com/docview/2861116969,Duplicate,https://www.proquest.com/docview/2861116969,Duplicate
https://www.proquest.com/docview/2861116969/abstract/699ED3E543144D9EPQ/1264?accountid=14771,https://www.proquest.com/docview/2861116969,Duplicate,https://www.proquest.com/docview/2861116969,Duplicate
https://www.proquest.com/docview/2861116969/abstract/39C38B9E225B4415PQ/638?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2861116969,Duplicate,https://www.proquest.com/docview/2861116969,Duplicate
https://www.proquest.com/docview/2861308946/abstract/7575FAA4955647FEPQ/1341?accountid=14771,https://www.proquest.com/docview/2861308946,Unique,https://www.proquest.com/docview/2861308946,Unique
https://www.proquest.com/docview/2864587890/abstract/E6880F222B744002PQ/406?accountid=14771,https://www.proquest.com/docview/2864587890,Duplicate,https://www.proquest.com/docview/2864587890,Duplicate
https://www.proquest.com/docview/2864587890/abstract/39C38B9E225B4415PQ/143?accountid=14771,https://www.proquest.com/docview/2864587890,Duplicate,https://www.proquest.com/docview/2864587890,Duplicate
https://www.proquest.com/docview/2864587890/abstract/699ED3E543144D9EPQ/445?accountid=14771,https://www.proquest.com/docview/2864587890,Duplicate,https://www.proquest.com/docview/2864587890,Duplicate
https://www.proquest.com/docview/2865455552/citation/7575FAA4955647FEPQ/149?accountid=14771,https://www.proquest.com/docview/2865455552,Duplicate,https://www.proquest.com/docview/2865455552,Duplicate
https://www.proquest.com/docview/2865455552/abstract/1B026C73F2494CBCPQ/108?accountid=14771,https://www.proquest.com/docview/2865455552,Duplicate,https://www.proquest.com/docview/2865455552,Duplicate
https://www.proquest.com/docview/2865455552/citation/E6880F222B744002PQ/340?accountid=14771,https://www.proquest.com/docview/2865455552,Duplicate,https://www.proquest.com/docview/2865455552,Duplicate
https://www.proquest.com/docview/2865455552/abstract/699ED3E543144D9EPQ/553?accountid=14771,https://www.proquest.com/docview/2865455552,Duplicate,https://www.proquest.com/docview/2865455552,Duplicate
